Indicator,Group,State,Subgroup,Time Period,Time Period Start Date,Time Period End Date,Value
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Ohio,Ohio,19,2020-11-11,2020-11-23,25.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,19,2020-11-11,2020-11-23,26.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,19,2020-11-11,2020-11-23,21.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,19,2020-11-11,2020-11-23,20.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,19,2020-11-11,2020-11-23,25.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,19,2020-11-11,2020-11-23,29.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,19,2020-11-11,2020-11-23,24.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,19,2020-11-11,2020-11-23,21.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,19,2020-11-11,2020-11-23,19.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,19,2020-11-11,2020-11-23,26.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,19,2020-11-11,2020-11-23,20.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,19,2020-11-11,2020-11-23,24.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,19,2020-11-11,2020-11-23,24.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,West Virginia,West Virginia,19,2020-11-11,2020-11-23,25.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,19,2020-11-11,2020-11-23,21.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,19,2020-11-11,2020-11-23,19.9
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,19,2020-11-11,2020-11-23,9.9
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,19,2020-11-11,2020-11-23,15.0
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,19,2020-11-11,2020-11-23,13.4
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,19,2020-11-11,2020-11-23,11.6
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,19,2020-11-11,2020-11-23,8.7
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,19,2020-11-11,2020-11-23,6.0
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,19,2020-11-11,2020-11-23,4.1
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,19,2020-11-11,2020-11-23,3.8
"Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Male,19,2020-11-11,2020-11-23,8.2
"Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Female,19,2020-11-11,2020-11-23,11.5
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,19,2020-11-11,2020-11-23,5.2
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,19,2020-11-11,2020-11-23,16.2
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,19,2020-11-11,2020-11-23,9.6
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",19,2020-11-11,2020-11-23,10.1
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",19,2020-11-11,2020-11-23,9.7
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",19,2020-11-11,2020-11-23,6.4
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",19,2020-11-11,2020-11-23,12.4
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,19,2020-11-11,2020-11-23,7.6
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,19,2020-11-11,2020-11-23,6.5
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,19,2020-11-11,2020-11-23,10.6
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,19,2020-11-11,2020-11-23,12.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,19,2020-11-11,2020-11-23,6.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,19,2020-11-11,2020-11-23,8.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,19,2020-11-11,2020-11-23,10.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,19,2020-11-11,2020-11-23,8.9
"Received Counseling or Therapy, Last 4 Weeks",By State,California,California,19,2020-11-11,2020-11-23,8.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,19,2020-11-11,2020-11-23,10.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,19,2020-11-11,2020-11-23,15.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,19,2020-11-11,2020-11-23,10.7
"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,19,2020-11-11,2020-11-23,14.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,19,2020-11-11,2020-11-23,10.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,19,2020-11-11,2020-11-23,11.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,19,2020-11-11,2020-11-23,6.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,19,2020-11-11,2020-11-23,10.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,19,2020-11-11,2020-11-23,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,19,2020-11-11,2020-11-23,9.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,19,2020-11-11,2020-11-23,13.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,19,2020-11-11,2020-11-23,9.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,19,2020-11-11,2020-11-23,8.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,19,2020-11-11,2020-11-23,8.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,19,2020-11-11,2020-11-23,10.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,19,2020-11-11,2020-11-23,13.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,19,2020-11-11,2020-11-23,13.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,19,2020-11-11,2020-11-23,9.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,19,2020-11-11,2020-11-23,10.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,19,2020-11-11,2020-11-23,6.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,19,2020-11-11,2020-11-23,9.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,19,2020-11-11,2020-11-23,7.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,19,2020-11-11,2020-11-23,7.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,19,2020-11-11,2020-11-23,6.7
"Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,19,2020-11-11,2020-11-23,10.5
"Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,19,2020-11-11,2020-11-23,12.3
"Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,19,2020-11-11,2020-11-23,9.6
"Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,19,2020-11-11,2020-11-23,12.4
"Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,19,2020-11-11,2020-11-23,9.3
"Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,19,2020-11-11,2020-11-23,6.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,19,2020-11-11,2020-11-23,8.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,19,2020-11-11,2020-11-23,8.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,19,2020-11-11,2020-11-23,13.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,19,2020-11-11,2020-11-23,7.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,19,2020-11-11,2020-11-23,15.1
"Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,19,2020-11-11,2020-11-23,9.9
"Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,19,2020-11-11,2020-11-23,10.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,19,2020-11-11,2020-11-23,7.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,19,2020-11-11,2020-11-23,9.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,19,2020-11-11,2020-11-23,9.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,19,2020-11-11,2020-11-23,10.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,19,2020-11-11,2020-11-23,9.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,19,2020-11-11,2020-11-23,12.7
"Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,19,2020-11-11,2020-11-23,7.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,19,2020-11-11,2020-11-23,8.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,19,2020-11-11,2020-11-23,9.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,19,2020-11-11,2020-11-23,24.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,19,2020-11-11,2020-11-23,25.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,19,2020-11-11,2020-11-23,26.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,19,2020-11-11,2020-11-23,26.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,19,2020-11-11,2020-11-23,26.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,19,2020-11-11,2020-11-23,23.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,19,2020-11-11,2020-11-23,19.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,19,2020-11-11,2020-11-23,15.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Male,19,2020-11-11,2020-11-23,18.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Female,19,2020-11-11,2020-11-23,30.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,19,2020-11-11,2020-11-23,14.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,19,2020-11-11,2020-11-23,38.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,19,2020-11-11,2020-11-23,20.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",19,2020-11-11,2020-11-23,27.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",19,2020-11-11,2020-11-23,21.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",19,2020-11-11,2020-11-23,11.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",19,2020-11-11,2020-11-23,27.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,19,2020-11-11,2020-11-23,22.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,19,2020-11-11,2020-11-23,22.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,19,2020-11-11,2020-11-23,26.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,19,2020-11-11,2020-11-23,26.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,19,2020-11-11,2020-11-23,29.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,19,2020-11-11,2020-11-23,23.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,19,2020-11-11,2020-11-23,21.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,19,2020-11-11,2020-11-23,33.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,California,California,19,2020-11-11,2020-11-23,19.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,19,2020-11-11,2020-11-23,26.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,19,2020-11-11,2020-11-23,25.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,19,2020-11-11,2020-11-23,24.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,19,2020-11-11,2020-11-23,25.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,19,2020-11-11,2020-11-23,22.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,19,2020-11-11,2020-11-23,24.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,19,2020-11-11,2020-11-23,15.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,19,2020-11-11,2020-11-23,26.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,19,2020-11-11,2020-11-23,26.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,19,2020-11-11,2020-11-23,28.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,19,2020-11-11,2020-11-23,29.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,19,2020-11-11,2020-11-23,26.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,19,2020-11-11,2020-11-23,26.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,19,2020-11-11,2020-11-23,24.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,19,2020-11-11,2020-11-23,25.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,19,2020-11-11,2020-11-23,23.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,19,2020-11-11,2020-11-23,29.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,19,2020-11-11,2020-11-23,27.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,19,2020-11-11,2020-11-23,27.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,19,2020-11-11,2020-11-23,24.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,19,2020-11-11,2020-11-23,28.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,19,2020-11-11,2020-11-23,24.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,19,2020-11-11,2020-11-23,25.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,19,2020-11-11,2020-11-23,21.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,19,2020-11-11,2020-11-23,29.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,19,2020-11-11,2020-11-23,24.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,19,2020-11-11,2020-11-23,22.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,19,2020-11-11,2020-11-23,22.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,19,2020-11-11,2020-11-23,29.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,19,2020-11-11,2020-11-23,23.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,19,2020-11-11,2020-11-23,28.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,19,2020-11-11,2020-11-23,28.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,19,2020-11-11,2020-11-23,27.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,19,2020-11-11,2020-11-23,23.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,19,2020-11-11,2020-11-23,29.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,19,2020-11-11,2020-11-23,31.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,19,2020-11-11,2020-11-23,25.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,19,2020-11-11,2020-11-23,23.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,19,2020-11-11,2020-11-23,22.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,19,2020-11-11,2020-11-23,30.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,19,2020-11-11,2020-11-23,23.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,19,2020-11-11,2020-11-23,26.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,19,2020-11-11,2020-11-23,29.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,19,2020-11-11,2020-11-23,27.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,19,2020-11-11,2020-11-23,23.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,19,2020-11-11,2020-11-23,24.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,United States,19,2020-11-11,2020-11-23,11.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,19,2020-11-11,2020-11-23,18.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,19,2020-11-11,2020-11-23,15.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,19,2020-11-11,2020-11-23,11.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,19,2020-11-11,2020-11-23,10.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,19,2020-11-11,2020-11-23,6.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,19,2020-11-11,2020-11-23,3.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,80 years and above,19,2020-11-11,2020-11-23,2.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Gender,United States,Male,19,2020-11-11,2020-11-23,8.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Gender,United States,Female,19,2020-11-11,2020-11-23,13.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,19,2020-11-11,2020-11-23,2.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,19,2020-11-11,2020-11-23,22.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,19,2020-11-11,2020-11-23,12.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",19,2020-11-11,2020-11-23,10.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",19,2020-11-11,2020-11-23,12.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",19,2020-11-11,2020-11-23,5.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",19,2020-11-11,2020-11-23,17.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Less than a high school diploma,19,2020-11-11,2020-11-23,10.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,High school diploma or GED,19,2020-11-11,2020-11-23,8.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Some college/Associate's degree,19,2020-11-11,2020-11-23,13.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,19,2020-11-11,2020-11-23,11.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,19,2020-11-11,2020-11-23,13.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alaska,Alaska,19,2020-11-11,2020-11-23,13.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arizona,Arizona,19,2020-11-11,2020-11-23,12.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arkansas,Arkansas,19,2020-11-11,2020-11-23,11.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,California,California,19,2020-11-11,2020-11-23,13.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Colorado,Colorado,19,2020-11-11,2020-11-23,12.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Connecticut,Connecticut,19,2020-11-11,2020-11-23,9.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,19,2020-11-11,2020-11-23,11.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,District of Columbia,District of Columbia,19,2020-11-11,2020-11-23,13.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Florida,Florida,19,2020-11-11,2020-11-23,10.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Georgia,Georgia,19,2020-11-11,2020-11-23,11.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Hawaii,Hawaii,19,2020-11-11,2020-11-23,6.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Idaho,Idaho,19,2020-11-11,2020-11-23,10.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Illinois,Illinois,19,2020-11-11,2020-11-23,12.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Indiana,Indiana,19,2020-11-11,2020-11-23,10.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Iowa,Iowa,19,2020-11-11,2020-11-23,9.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kansas,Kansas,19,2020-11-11,2020-11-23,11.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kentucky,Kentucky,19,2020-11-11,2020-11-23,9.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Louisiana,Louisiana,19,2020-11-11,2020-11-23,10.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maine,Maine,19,2020-11-11,2020-11-23,10.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maryland,Maryland,19,2020-11-11,2020-11-23,11.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Massachusetts,Massachusetts,19,2020-11-11,2020-11-23,10.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Michigan,Michigan,19,2020-11-11,2020-11-23,11.8
